幣別,現金買入,現金賣出,即期買入,即期賣出
美金 (USD),27.27,27.94,27.62,27.72
港幣 (HKD),3.392,3.596,3.518,3.578
英鎊 (GBP),36.38,38.5,37.39,37.79
澳幣 (AUD),19.5,20.28,19.79,19.99
加拿大幣 (CAD),21.37,22.28,21.77,21.97
新加坡幣 (SGD),19.84,20.75,20.33,20.51
瑞士法郎 (CHF),29.23,30.43,29.91,30.16
日圓 (JPY),0.2297,0.2425,0.237,0.241
南非幣 (ZAR),-,-,1.731,1.811
瑞典幣 (SEK),2.66,3.18,3,3.1
紐元 (NZD),18.25,19.1,18.63,18.83
泰幣 (THB),0.693,0.883,0.8054,0.8454
菲國比索 (PHP),0.4651,0.5981,-,-
印尼幣 (IDR),0.00158,0.00228,-,-
歐元 (EUR),30.53,31.87,31.15,31.55
韓元 (KRW),0.02137,0.02527,-,-
越南盾 (VND),0.001,0.00141,-,-
馬來幣 (MYR),5.571,7.051,-,-
人民幣 (CNY),4.24,4.402,4.312,4.362
